OBJECTID;CODECARTO;LIBELLE;HISTO;NATURE;LIENDOC;REFERENTIEL;TIMESTAMP;WKT_GEOM
"26636";"53053-INV-1925-01";"habitation";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-1925-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (119792.108999997 126371.98)"
"26637";"62096-INV-0263-01";"villa";"présent à l'IPA en 2009";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62096-INV-0263-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (231400.5 144111.927000001)"
"26638";"25112-INV-0318-01";"brasserie - habitation";"présent à l'IPA en 2007";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25112-INV-0318-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (167008.916000001 155906.09)"
"26639";"53053-INV-1517-01";"ferme";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-1517-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (127590.608000003 129713.065000001)"
"26640";"92094-INV-1645-01";"école (Ecole de Saint-Nicolas)";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/92094-INV-1645-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (185985.998999998 128505.263)"
"26641";"92045-INV-0090-01";"habitation";"présent à l'IPIC en 2021";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/92045-INV-0090-01";"";"2026-03-24T00:00:00";"MULTIPOINT (177789.561999999 125203.068999998)"
"26642";"25084-INV-0058-01";"chapelle (Chapelle Notre-Dame de Lourdes)";"présent à l'IPA en 2006";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25084-INV-0058-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (182953.338 145581.620000001)"
"26643";"25048-INV-0046-02";"habitation";"présent à l'IPM en 1973 présent à l'IPA en 2006";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25048-INV-0046-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (185345.07 157270.500999998)"
"26644";"53053-INV-1155-01";"";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-1155-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (117111.925999999 125024.223000001)"
"26645";"63086-INV-0028-01";"";"présent à l'IPM en 1985";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/63086-INV-0028-01";"";"2026-03-24T00:00:00";"MULTIPOINT (262213.299999997 118637.831)"
"26646";"51008-INV-0259-01";"chapelle (Chapelle Notre-Dame de la Consolation)";"présent à l'IPIC en 2020";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/51008-INV-0259-01";"";"2026-03-24T00:00:00";"MULTIPOINT (103649.711000003 133160.789999999)"
"26647";"53046-INV-0431-01";"ferme";"présent à l'IPA en 2007";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53046-INV-0431-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (113468.659999996 140319.103999998)"
"26648";"57081-INV-1371-01";"Ferme(s)";"présent à l'IPIC en 2014";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/57081-INV-1371-01";"";"2026-03-24T00:00:00";"MULTIPOINT (92199.2779999971 145887.941)"
"26649";"53053-INV-0305-02";"habitation - magasin (Au Cornet d'Or)";"présent à l'IPM en 1975 présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-0305-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120664.924999997 127054.256000001)"
"26650";"63035-INV-0081-01";"";"présent à l'IPM en 1984";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/63035-INV-0081-01";"";"2026-03-24T00:00:00";"MULTIPOINT (248368.608000003 151065.993999999)"
"26651";"57081-INV-2006-01";"Monument(s) commémoratif(s) (Mémorial belgo-britannique)";"présent à l'IPIC en 2017";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/57081-INV-2006-01";"";"2026-03-24T00:00:00";"MULTIPOINT (73456.9540000036 144740.090999998)"
"26988";"53039-INV-0141-01";"habitation";"présent à l'IPA en 2004";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53039-INV-0141-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (101298.112999998 125298.800000001)"
"26989";"53053-INV-0162-02";"habitation";"présent à l'IPM en 1975 présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-0162-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120632.939000003 127135.941)"
"26990";"25112-INV-0180-01";"café - habitation";"présent à l'IPA en 2007";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25112-INV-0180-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (164551.195 153709.920000002)"
"26991";"53053-INV-1528-01";"ferme";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-1528-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (122853.273999996 120309.307999998)"
"26992";"92094-INV-0355-02";"habitation - magasin";"présent à l'IPM en 1975 présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/92094-INV-0355-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (185141.734999999 128207.021000002)"
"26993";"25037-INV-0233-01";"habitation";"présent à l'IPA en 2007";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25037-INV-0233-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (173322.659999996 156976.504999999)"
"26994";"53053-INV-2568-01";"habitation - magasin";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-2568-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120480.101999998 126938.862)"
"26995";"51008-INV-0216-01";"habitation";"présent à l'IPIC en 2020";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/51008-INV-0216-01";"";"2026-03-24T00:00:00";"MULTIPOINT (101478.718000002 135271.214000002)"
"26996";"53053-INV-2459-01";"habitation";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-2459-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120060.927000001 126851.912)"
"26997";"92094-INV-1703-01";"habitation";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/92094-INV-1703-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (185579.842 128909.079)"
"26998";"81001-INV-0057-01";"";"présent à l'IPM en 1994";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/81001-INV-0057-01";"";"2026-03-24T00:00:00";"MULTIPOINT (254601.467 42468.3500000015)"
"26999";"53053-INV-2176-01";"habitation - restaurant";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-2176-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120443.563000001 127102.539000001)"
"27000";"57081-INV-0100-02";"Brasserie - Habitation(s)";"présent à l'IPM en 1978 présent à l'IPIC en 2014";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/57081-INV-0100-02";"";"2026-03-24T00:00:00";"MULTIPOINT (91373.6220000014 144426.938999999)"
"27001";"56029-INV-0013-02";"habitation";"présent à l'IPM en 1983 présent à l'IPIC en 2014";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/56029-INV-0013-02";"";"2026-03-24T00:00:00";"MULTIPOINT (145537.616999999 98668.5980000012)"
"27002";"25050-INV-0011-01";"immeuble de bureaux (Swifft II)";"présent à l'IPA en 2009";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25050-INV-0011-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (157751.561999999 158210.159000002)"
"27003";"62027-INV-0255-01";"habitation";"présent à l'IPIC en 2024";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62027-INV-0255-01";"";"2026-03-24T00:00:00";"MULTIPOINT (245811.472000003 156583.298)"
"27004";"25048-INV-0513-01";"ferme";"présent à l'IPA en 2006";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25048-INV-0513-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (182361.795999996 154453.706999999)"
"27005";"62079-INV-0059-01";"école  - maison communale - maison de l'instituteur (Maison communale et école d'Hermalle-sous-Argenteau)";"présent à l'IPIC en 2017";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62079-INV-0059-01";"";"2026-03-24T00:00:00";"MULTIPOINT (242568.75 156371.870999999)"
"27006";"25072-INV-0046-02";"Portail";"présent à l'IPM en 1973 présent à l'IPIC en 2018";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25072-INV-0046-02";"";"2026-03-24T00:00:00";"MULTIPOINT (146946.531000003 143137.223000001)"
"27007";"92094-INV-2116-01";"habitation";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/92094-INV-2116-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (185419.384000003 127606.730999999)"
"27008";"56085-INV-0202-01";"ferme - forge";"présent à l'IPIC en 2020";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/56085-INV-0202-01";"";"2026-03-24T00:00:00";"MULTIPOINT (127895.097000003 121309.362)"
"27009";"25048-INV-0194-02";"chapelle (Chapelle Sainte-Geneviève, chapelle de Cricourt)";"présent à l'IPM en 1973 présent à l'IPA en 2006";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25048-INV-0194-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (180866.601000004 157859.587000001)"
"27632";"25107-INV-0057-02";"presbytère";"présent à l'IPM en 1973 présent à l'IPIC en 2018";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25107-INV-0057-02";"";"2026-03-24T00:00:00";"MULTIPOINT (164224.814000003 141285.936999999)"
"27633";"62096-INV-0081-01";"habitation";"présent à l'IPA en 2009";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62096-INV-0081-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (230168.935000002 145735.800000001)"
"27634";"57081-INV-0054-02";"Habitation(s)";"présent à l'IPM en 1978 présent à l'IPIC en 2015";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/57081-INV-0054-02";"";"2026-03-24T00:00:00";"MULTIPOINT (80660.6670000032 144641.013999999)"
"27635";"51008-INV-0110-02";"habitation";"présent à l'IPM en 1988 présent à l'IPIC en 2020";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/51008-INV-0110-02";"";"2026-03-24T00:00:00";"MULTIPOINT (100604.952 134056.489999998)"
"27636";"62032-INV-0179-01";"conciergerie (Conciergerie du château du Rond Chêne)";"présent à l'IPA en 2010";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62032-INV-0179-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (234166.325999998 135444.239)"
"27637";"53082-INV-0152-01";"maison de maître";"présent à l'IPA en 2006";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53082-INV-0152-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (114397.230999999 122317.151000001)"
"27638";"64076-INV-0093-01";"";"présent à l'IPM en 1994";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/64076-INV-0093-01";"";"2026-03-24T00:00:00";"MULTIPOINT (213702.865999997 149058.840999998)"
"27639";"56078-INV-0179-02";"maison de maître";"présent à l'IPM en 1983 présent à l'IPIC en 2022";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/56078-INV-0179-02";"";"2026-03-24T00:00:00";"MULTIPOINT (144514.288999997 114195.511999998)"
"27640";"62121-INV-0109-01";"monument aux morts";"présent à l'IPA en 2010";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62121-INV-0109-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (232334.373000003 137436.034000002)"
"27641";"82032-INV-0128-01";"";"présent à l'IPM en 1993";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/82032-INV-0128-01";"";"2026-03-24T00:00:00";"MULTIPOINT (261476.963 108818.418000001)"
"27642";"56016-INV-0146-02";"habitation";"présent à l'IPM en 1983 présent à l'IPIC en 2018";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/56016-INV-0146-02";"";"2026-03-24T00:00:00";"MULTIPOINT (146224.601000004 81982.699000001)"
"27643";"62096-INV-0148-01";"atelier (Atelier de menuiserie Louis Petit Jean Toussaint)";"présent à l'IPA en 2009";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62096-INV-0148-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (231542.968000002 143679.083000001)"
"27644";"57081-INV-1372-02";"Chapelle(s)";"présent à l'IPM en 1978 présent à l'IPIC en 2014";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/57081-INV-1372-02";"";"2026-03-24T00:00:00";"MULTIPOINT (91809.4450000003 146225.550999999)"
"27645";"57081-INV-0033-02";"Habitation(s)";"présent à l'IPM en 1978 présent à l'IPIC en 2015";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/57081-INV-0033-02";"";"2026-03-24T00:00:00";"MULTIPOINT (81223.3669999987 144697.574999999)"
"27646";"91064-INV-0131-02";"ferme";"présent à l'IPM en 1996 présent à l'IPIC en 2018";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/91064-INV-0131-02";"";"2026-03-24T00:00:00";"MULTIPOINT (217363.803999998 116591.388)"
"27647";"62096-INV-0190-01";"habitation";"présent à l'IPA en 2009";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62096-INV-0190-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (230584.292999998 144893.151000001)"
"27648";"92094-INV-2067-01";"habitation";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/92094-INV-2067-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (186043.688000001 127134.697999999)"
"27649";"57081-INV-0387-02";"Commerce(s) - Habitation(s)";"présent à l'IPM en 1978 présent à l'IPIC en 2015";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/57081-INV-0387-02";"";"2026-03-24T00:00:00";"MULTIPOINT (80188.5 144452.829)"
"27650";"91064-INV-0318-01";"grotte artificielle (Notre-Dame des Sept Douleurs)";"présent à l'IPIC en 2018";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/91064-INV-0318-01";"";"2026-03-24T00:00:00";"MULTIPOINT (206372.866999999 119303.304000001)"
"27651";"62032-INV-0107-01";"habitation";"présent à l'IPA en 2010";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62032-INV-0107-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (235050.894000001 136617.232999999)"
"27652";"63058-INV-0182-01";"";"présent à l'IPM en 1985";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/63058-INV-0182-01";"";"2026-03-24T00:00:00";"MULTIPOINT (251075.524999999 142795.800000001)"
"27653";"81001-INV-0043-01";"";"présent à l'IPM en 1994";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/81001-INV-0043-01";"";"2026-03-24T00:00:00";"MULTIPOINT (254447.148999996 42337.7300000004)"
"27344";"85045-INV-0029-01";"";"présent à l'IPM en 1995";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/85045-INV-0029-01";"";"2026-03-24T00:00:00";"MULTIPOINT (237059.295000002 30617.7789999992)"
"27345";"53028-INV-0187-01";"habitation";"présent à l'IPA en 2006";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53028-INV-0187-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (115458.832999997 121441.620999999)"
"27346";"25084-INV-0085-01";"habitation";"présent à l'IPA en 2006";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25084-INV-0085-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (181703.975000001 145711.113000002)"
"27347";"54010-INV-0017-01";"ferme (Ferme de la Cerisaie)";"présent à l'IPIC en 2019";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/54010-INV-0017-01";"";"2026-03-24T00:00:00";"MULTIPOINT (52523.1719999984 165599.293000001)"
"27348";"62063-INV-1553-02";"ferme";"présent à l'IPM en 1980 présent à l'IPA en 2004";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62063-INV-1553-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (232921.129000001 152948.026000001)"
"27349";"53053-INV-2489-01";"habitation";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-2489-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120571.133000001 127397.276999999)"
"27350";"54010-INV-0045-01";"chapelle (Chapelle Notre-Dame des Douleurs)";"présent à l'IPIC en 2019";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/54010-INV-0045-01";"";"2026-03-24T00:00:00";"MULTIPOINT (44237.8620000035 158377.958999999)"
"27351";"53053-INV-2049-01";"habitation - magasin";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-2049-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120166.912 126765.065000001)"
"27352";"85039-INV-0016-01";"";"présent à l'IPM en 1995";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/85039-INV-0016-01";"";"2026-03-24T00:00:00";"MULTIPOINT (231374.631999999 39924.5689999983)"
"27353";"51008-INV-0010-02";"maison rurale";"présent à l'IPM en 1988 présent à l'IPIC en 2020";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/51008-INV-0010-02";"";"2026-03-24T00:00:00";"MULTIPOINT (105140.740000002 137787.449999999)"
"27354";"61031-INV-0389-01";"";"présent à l'IPM en 1990";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/61031-INV-0389-01";"";"2026-03-24T00:00:00";"MULTIPOINT (210963.494999997 134617.838)"
"27355";"53028-INV-0118-01";"pont";"présent à l'IPA en 2006";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53028-INV-0118-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (117022.998000003 122335.515999999)"
"27356";"56078-INV-0056-02";"presbytère";"présent à l'IPM en 1983 présent à l'IPIC en 2021";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/56078-INV-0056-02";"";"2026-03-24T00:00:00";"MULTIPOINT (145897.339000002 108263.372000001)"
"27357";"64008-INV-0004-01";"";"présent à l'IPM en 1994";"Monument (pastillé)";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/64008-INV-0004-01";"";"2026-03-24T00:00:00";"MULTIPOINT (209763.939999998 154448.800000001)"
"27358";"25048-INV-0098-02";"habitation";"présent à l'IPM en 1973 présent à l'IPA en 2006";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/25048-INV-0098-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (184863.171999998 157144.535)"
"27359";"62096-INV-0180-01";"habitation";"présent à l'IPA en 2009";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/62096-INV-0180-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (230913.541000001 144970.462000001)"
"27360";"57081-INV-2085-01";"Maison(s) rurale(s)";"présent à l'IPIC en 2017";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/57081-INV-2085-01";"";"2026-03-24T00:00:00";"MULTIPOINT (76263.5860000029 141264.684)"
"27361";"92094-INV-0616-02";"habitation (Habitation)";"présent à l'IPM en 1975 présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/92094-INV-0616-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (185143.818000004 128172.423999999)"
"27362";"53053-INV-0954-02";"couvent (Couvent des Capucines, église Notre Dame de la Belle Dilection)";"présent à l'IPM en 1975 présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-0954-02";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (119808.292000003 126784.920000002)"
"27363";"53053-INV-1822-01";"habitation - magasin";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-1822-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120493.081 127253.772999998)"
"27364";"53053-INV-2247-01";"habitation";"présent à l'IPA en 2011";"Monument";"https://inventairepatrimoine.wallonie.be/fr/inventaire-regional-du-patrimoine/fiche/53053-INV-2247-01";"CADMAP2012";"2026-03-24T00:00:00";"MULTIPOINT (120609.717 127509.09)"
